Height,Weight,Label
168.4,49.1,Fit
153.6,59.0,Obese
173.3,65.6,Fit
175.3,62.8,Fit
143.5,43.3,Fit
150.7,58.2,Obese
166.4,66.8,Fit
161.5,56.4,Fit
164.8,50.6,Fit
155.6,44.7,Fit
174.7,73.1,Fit
173.6,56.0,Fit
165.7,59.5,Fit
177.4,90.7,Obese
170.1,67.4,Fit
155.5,59.2,Fit
169.1,54.4,Fit
154.5,42.7,Fit
174.7,73.5,Fit
164.5,57.2,Fit
163.0,67.8,Obese
157.5,55.7,Fit
178.4,98.5,Obese
163.3,54.9,Fit
160.3,59.6,Fit
161.1,50.8,Fit
170.9,73.3,Obese
169.0,67.2,Fit
169.5,56.3,Fit
169.7,61.6,Fit
188.6,90.0,Obese
160.5,67.5,Obese
159.4,45.4,Fit
156.0,50.6,Fit
171.8,80.3,Obese
177.4,68.7,Fit
163.7,61.3,Fit
155.8,62.4,Obese
155.9,43.6,Fit
172.2,58.5,Fit
173.2,64.2,Fit
171.0,74.7,Obese
157.7,63.7,Obese
167.6,68.3,Fit
166.3,60.5,Fit
167.4,71.5,Obese
174.6,66.6,Fit
167.5,67.1,Fit
172.5,73.5,Fit
165.7,74.8,Obese
168.2,62.6,Fit
171.9,62.9,Fit
149.0,60.0,Obese
161.5,69.1,Obese
159.8,52.7,Fit
158.0,46.9,Fit
162.0,68.3,Obese
181.4,60.1,Fit
155.5,40.4,Fit
175.7,66.5,Fit
146.5,48.0,Fit
161.3,48.8,Fit
166.8,63.0,Fit
171.4,66.8,Fit
172.8,61.9,Fit
173.7,82.7,Obese
161.2,60.6,Fit
159.9,65.3,Obese
174.4,55.3,Fit
162.9,46.7,Fit
151.0,53.8,Fit
152.5,66.0,Obese
154.9,44.7,Fit
170.5,65.1,Fit
166.6,51.2,Fit
172.6,59.8,Fit
160.3,58.1,Fit
166.7,57.2,Fit
171.9,54.6,Fit
161.6,46.8,Fit
170.0,48.5,Fit
157.7,58.5,Fit
161.0,61.8,Fit
160.8,61.6,Fit
151.8,43.5,Fit
170.4,71.9,Fit
159.8,61.9,Fit
165.1,60.1,Fit
170.3,62.5,Fit
169.9,58.3,Fit
172.3,66.9,Fit
163.9,72.0,Obese
160.3,65.7,Obese
164.1,57.2,Fit
146.4,51.5,Fit
149.1,40.1,Fit
150.5,55.6,Fit
154.0,45.5,Fit
169.4,68.7,Fit
155.0,76.6,Obese
160.8,52.4,Fit
179.3,94.1,Obese
161.1,61.0,Fit
173.1,59.9,Fit
154.7,46.3,Fit
162.7,77.2,Obese
154.5,56.5,Fit
161.3,52.7,Fit
174.2,65.2,Fit
146.0,50.3,Fit
169.8,63.3,Fit
167.6,64.6,Fit
158.5,69.4,Obese
149.1,39.9,Fit
165.8,65.6,Fit
159.2,55.2,Fit
167.6,57.8,Fit
165.2,68.6,Obese
182.6,61.7,Fit
162.4,39.1,Fit
153.7,53.8,Fit
167.0,60.2,Fit
167.4,50.8,Fit
180.0,57.6,Fit
174.2,82.2,Obese
168.9,66.5,Fit
181.1,72.3,Fit
151.9,68.3,Obese
158.0,63.1,Obese
154.8,66.9,Obese
160.7,47.4,Fit
149.9,39.7,Fit
172.0,70.0,Fit
162.6,61.4,Fit
148.8,58.7,Obese
153.8,39.0,Fit
168.4,68.1,Fit
174.2,74.7,Fit
187.0,84.4,Fit
197.1,82.2,Fit
169.6,67.4,Fit
154.1,46.0,Fit
141.5,41.7,Fit
167.9,53.7,Fit
156.1,47.5,Fit
160.4,54.7,Fit
158.3,51.2,Fit
163.5,52.7,Fit
176.7,58.3,Fit
166.7,76.8,Obese
163.3,54.6,Fit
153.6,54.5,Fit
146.6,33.2,Fit
159.7,66.9,Obese
164.4,60.8,Fit
184.4,71.3,Fit
166.4,57.5,Fit
